Episode Number,Pitch Number,Brand,Idea,Investment Amount (In Lakhs INR) ,Debt (In lakhs INR),Equity,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,Amit,Season,Anupam Mittal,Ashneer Grover,Namita Thapar,Aman Gupta,Peyush Bansal,Vineeta Singh,Ghazal Alagh,Amit Jain,Sharks
32,103,Thea and Sid,Social,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
32,104,Experential Etc,Social,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
32,105,GrowFitter,Social,5000000,0,2%,N,N,N,Y,N,N,N,N,1,,,,Aman Gupta,,,,,
32,106,Med Tech,Technology,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
33,107,Colour Me Mad,Retail and Fashion,4000000,0,25%,N,N,Y,N,N,N,N,N,1,,,Namita Thapar,,,,,,
33,108,Mavi's,Food and Beverages,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
33,109,Tweek Labs,Retail and Fashion,6000000,0,10%,Y,Y,N,N,Y,N,N,N,1,Anupam Mittal,Ashneer Grover,,,Peyush Bansal,,,,
33,110,Proxgy,Technology,1000000,0,10%,N,Y,N,N,Y,N,N,N,1,,Ashneer Grover,,,Peyush Bansal,,,,
34,111,Nomad Food Project,Food and Beverages,4000000,0,20%,N,Y,Y,N,N,Y,Y,Y,1,,Ashneer Grover,Namita Thapar,,,Vineeta Singh,Ghazal Alagh,Amit Jain,
34,112,Twee in One,Retail and Fashion,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
34,113,Green Protein,Food and Beverages,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
34,114,On2Cook,Technology,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
35,115,Jain Shikanji,Food and Beverages,4000000,0,30%,Y,Y,N,Y,N,Y,N,N,1,Anupam Mittal,Ashneer Grover,,Aman Gupta,,Vineeta Singh,,,
35,116,Woloo,Social,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
35,117,Elcare India,Social,0,0,0%,N,N,N,N,N,N,N,N,1,,,,,,,,,
1,153,Hoovu,Agriculture,100000000,,2%,N,N,N,Y,Y,N,N,N,2,,,,Aman Gupta,Peyush Bansal,,,,
1,154,Dorji,Agriculture,3000000,,15%,Y,N,N,N,Y,Y,N,N,2,Anupam Mittal,,,,Peyush Bansal,Vineeta Singh,,,
1,155,Recode,Health and Fitness,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
2,156,VeryMuchIndian,Retail and Fashion,5000000,,10%,N,N,Y,Y,N,N,N,N,2,,,Namita Thapar,Aman Gupta,,,,,
2,157,WatchoutWearables,Accessories,100000000,,10%,Y,N,N,N,N,Y,N,N,2,Anupam Mittal,,,,,Vineeta Singh,,,
2,158,SoupX,Food and Beverages,5000000,,18%,N,N,N,N,N,Y,N,N,2,,,,,,Vineeta Singh,,,
3,159,ATMOSPHERE,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
3,160,Stage,Social,150000000,,1%,N,N,Y,Y,Y,N,N,N,2,,,Namita Thapar,Aman Gupta,Peyush Bansal,,,,
3,161,Girgit,Retail and Fashion,2000000,,20%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
4,162,GearHeadMotors,Transportation,100000000,,6.67%,N,N,N,Y,Y,N,N,N,2,,,,Aman Gupta,Peyush Bansal,,,,
4,163,PatilKaki,Food and Beverages,4000000,,4%,Y,N,N,N,Y,N,N,N,2,Anupam Mittal,,,,Peyush Bansal,,,,
4,164,Brandsdaddy,Technology,3500000,,5%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
5,165,Winston,Retail and Fashion,100000000,,10%,Y,N,N,N,N,Y,N,N,2,Anupam Mittal,,,,,Vineeta Singh,,,
5,166,Flatheads,Retail and Fashion,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
5,167,OrganicSmokes,Health and Fitness,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
6,168,TeaFit,Food and Beverages,5000000,,8%,Y,N,N,Y,Y,Y,N,N,2,Anupam Mittal,,,Aman Gupta,Peyush Bansal,Vineeta Singh,,,
6,169,Haqdarshak,Technology,100000000,,2%,N,N,Y,Y,Y,N,N,N,2,,,Namita Thapar,Aman Gupta,Peyush Bansal,,,,
6,170,Bhaskar'sPuranpoliGhar,Food and Beverages,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
7,171,GunjanAppsStudios,Education,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
7,172,TheSimplySalad,Food and Beverages,3000000,,10%,N,N,N,Y,N,Y,N,N,2,,,,Aman Gupta,,Vineeta Singh,,,
7,173,AyuSynk,Technology,5000000,,3.50%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
8,174,AtypicalAdvantage,Education,3000000,,3%,N,N,Y,Y,N,N,N,N,2,,,Namita Thapar,Aman Gupta,,,,,
8,175,HouseOfChikankari,Education,7500000,,3.75%,N,N,N,Y,Y,N,N,N,2,,,,Aman Gupta,Peyush Bansal,,,,
8,176,MagicOfMemories,Retail and Fashion,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
9,177,Paradyes,Retail and Fashion,6500000,,2%,N,N,N,Y,N,Y,N,N,2,,,,Aman Gupta,,Vineeta Singh,,,
9,178,Nestroots,Retail and Fashion,5000000,,2%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
10,179,Zillionaire,Retail and Fashion,100000000,,10%,Y,N,N,N,N,N,N,N,2,Anupam Mittal,,,,,,,,
10,180,Credmate,Retail and Fashion,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
10,181,Freebowler,Technology,2500000,,7.50%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
11,182,ABCSports&Fitness,Sports,4000000,,10%,N,N,N,N,Y,N,N,N,2,,,,,Peyush Bansal,,,,
11,183,Primebook,Technology,7500000,,3%,N,N,N,Y,Y,N,N,N,2,,,,Aman Gupta,Peyush Bansal,,,,
11,184,DailyDump,Technology,3000000,,4%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
12,185,GharSoaps,Retail and Fashion,6000000,,4%,N,N,N,Y,N,N,N,N,2,,,,Aman Gupta,,,,,
12,186,Janitri,Technology,100000000,,2.50%,N,N,Y,N,N,N,N,N,2,,,Namita Thapar,,,,,,
12,187,JaipurWatchCompany,Accessories,0,,0%,N,N,N,N,N,N,N,N,2,,,,,,,,,
